Building Engine...
Starting Main Loop
         253430411 function calls (250898655 primitive calls) in 169.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      215    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      224    0.001    0.000    0.003    0.000 version.py:198(__init__)
        1    0.000    0.000    0.003    0.003 main.py:216(addhammer)
      502    0.002    0.000    0.003    0.000 component_entity_sprite.py:234(setParticlePtrs)
       21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
      664    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
       21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1216(find_loader)
     3514    0.003    0.000    0.003    0.000 behavior_states_base.py:55(setBehaviorStateFrameTimes)
     5020    0.002    0.000    0.003    0.000 component_entity_behavior.py:18(exit)
       34    0.000    0.000    0.003    0.000 __init__.py:2002(safe_listdir)
     1002    0.002    0.000    0.003    0.000 component_entity_behavior.py:97(setBehaviorState)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
       61    0.000    0.000    0.003    0.000 pyparsing.py:3251(<listcomp>)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
       34    0.003    0.000    0.003    0.000 {built-in method io.open}
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:20(<module>)
     1004    0.001    0.000    0.003    0.000 behavior_states.py:313(__init__)
      500    0.000    0.000    0.003    0.000 main.py:208(adde)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
      277    0.001    0.000    0.003    0.000 function_base.py:431(add_newdoc)
4158/4149    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
     4657    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      500    0.001    0.000    0.003    0.000 event_handler.py:177(adde)
      370    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
